Pattern Duration Time% Call ModelNum NormalizedTime
aten::conv2d, 3753.606 4733.77135006258959037950 15212 111 42.64658873930260796214
aten::batch_norm, 558.696 665.55164356922205115552 11737 93 7.15646928569055962299
aten::relu_, 130.554 289.14406055903793912876 5670 93 3.10907591998965537883
aten::conv3d, 144.922 264.35701962111204466055 77 3 88.11900654037067681656
aten::linear, 4946.772 251.60497162063066411974 49307 236 1.06612276110436732246
torchvision::roi_align, 612.521 198.77779705904845286568 24 5 39.75555941180969199422
SwishJitAutoFn, 43.214 138.39842842608587147879 774 8 17.29980355326073393485
aten::max_pool2d, 62.413 130.12976040968359825456 137 56 2.32374572160149295286
aten::adaptive_avg_pool2d, 38.413 123.67589731222838622671 805 84 1.47233211085986170907
aten::cat, 193.582 123.64409088693034277640 3163 63 1.96260461725286261547
aten::mul, 269.561 116.24571485854036723140 15949 169 0.68784446661858200667
aten::add, 430.024 70.99118372051704284331 27742 181 0.39221648464374059273
aten::add_, 184.903 68.14554698059203019511 4884 151 0.45129501311650349615
aten::silu_, 26.661 60.12304641228983825840 823 9 6.68033849025442627578
aten::index, 25.572 32.67342687366404874183 1294 23 1.42058377711582828340
torchvision::nms, 15.067 16.22283034283617197957 89 8 2.02785379285452149745
aten::upsample_bilinear2d, 20.844 15.36691789884797110233 47 17 0.90393634699105707142
aten::contiguous, 546.407 15.14885961435905414874 25286 120 0.12624049678632545679
aten::hardswish_, 4.412 14.50377474836919589052 181 9 1.61153052759657722248
aten::embedding, 43.196 9.55882353201861612035 1053 136 0.07028546714719570432
aten::sigmoid, 12.626 8.54617362943410086018 1121 37 0.23097766566038110958
aten::hardtanh_, 2.678 8.31262843523390770883 94 3 2.77087614507796908825
aten::relu, 218.057 7.88761416890834077265 9571 51 0.15465910135114394053
aten::to, 95.538 6.72351949717874752821 6894 146 0.04605150340533388509
aten::gt, 4.195 6.71760469404903570734 238 30 0.22392015646830118469
aten::reshape, 36.742 6.65965454663025457904 2766 31 0.21482756602033079019
aten::slice, 75.472 6.58839461823629690684 27686 151 0.04363175243865097253
aten::index_put_, 19.842 5.63159327719985824956 614 14 0.40225666265713272418
aten::avg_pool2d, 5.550 5.18398911778463755695 245 11 0.47127173798042160113
aten::where, 17.186 4.70300867929945365375 287 20 0.23515043396497267714
aten::chunk, 0.721 4.52804127672450373865 66 6 0.75467354612075066012
aten::topk, 15.324 4.35468559818435707598 702 9 0.48385395535381747756
aten::mean, 91.949 4.32605249932044699790 3611 133 0.03252671052120637007
aten::stack, 6.856 4.28720553171356932864 99 10 0.42872055317135693286
aten::flatten, 6.304 3.90682339036192072257 267 108 0.03617429065149926903
aten::zeros, 6.508 3.37466756670423340125 149 21 0.16069845555734443843
aten::select, 54.134 3.14478634868609230324 18946 118 0.02665073176852620490
aten::view, 82.130 2.86343440152803374588 63053 155 0.01847377033243892755
aten::softmax, 357.480 2.70529414948411961461 9579 144 0.01878676492697305134
aten::transpose, 50.006 2.43152932330517357329 17053 142 0.01712344593876882759
aten::div, 259.311 2.31864867279923725363 8832 141 0.01644431682836338532
aten::sub, 25.405 1.86280114372847549475 4090 28 0.06652861227601698790
aten::full_like, 1.645 1.57933550655678112129 283 10 0.15793355065567810103
aten::sum, 5.984 1.47058823565519025678 288 13 0.11312217197347616826
aten::upsample_bicubic2d, 5.962 1.22770132386645602907 17 1 1.22770132386645602907
aten::hardsigmoid, 0.302 1.17055330010747882241 73 9 0.13006147778971988149
aten::upsample_nearest2d, 3.208 1.11123425733815262006 13 6 0.18520570955635876076
aten::clamp, 1.313 0.82694663877272556185 90 9 0.09188295986363617662
aten::eq, 29.581 0.79490692827498243833 1568 45 0.01766459840611072155
aten::conv_transpose2d, 23.966 0.76175978440770264477 4 3 0.25391992813590086309
aten::rsqrt, 6.945 0.66534589765774343473 3058 9 0.07392732196197149275
aten::meshgrid, 0.533 0.58561894903648059607 38 8 0.07320236862956007451
aten::arange, 6.843 0.55884152953954935317 654 50 0.01117683059079098776
aten::sort, 0.417 0.52235104793237563392 6 6 0.08705850798872927232
aten::dropout, 19.378 0.50716595751653359425 7738 158 0.00320991112352236440
aten::adaptive_avg_pool3d, 0.275 0.50550442419550578599 3 3 0.16850147473183527125
aten::repeat, 107.717 0.48906024684766224997 3086 7 0.06986574954966603967
aten::norm, 0.234 0.47652931410044724325 2 2 0.23826465705022362163
aten::unsqueeze, 10.449 0.43257214330458310103 3694 147 0.00294266764152777615
aten::unbind, 0.778 0.42344598755421664071 75 11 0.03849508977765606077
aten::exp, 0.832 0.42020975012391004189 35 9 0.04668997223599000157
aten::permute, 91.014 0.37395547085345531846 29084 122 0.00306520877748733865
aten::new_full, 0.497 0.31893121845979971463 12 9 0.03543680205108885872
aten::copy_, 53.537 0.21515947671433763300 3278 21 0.01024568936734941184
aten::ge, 0.355 0.19680445454713391129 29 6 0.03280074242452232086
aten::argmax, 93.317 0.18141645414885188003 298 5 0.03628329082977037323
aten::_unique2, 0.149 0.14882169199614436739 6 6 0.02480361533269072674
aten::empty, 0.263 0.11756140941532342015 233 26 0.00452159266982013128
aten::split_with_sizes, 0.189 0.11456332989652869003 20 6 0.01909388831608811385
aten::detach_, 1.203 0.11393724124963895694 464 25 0.00455748964998555807
aten::full, 0.266 0.09461954922770011989 22 6 0.01576992487128335216
aten::expand_as, 0.923 0.06404265206070480776 139 25 0.00256170608242819228
aten::min, 2.977 0.06198522486974156892 215 10 0.00619852248697415689
aten::max, 1.355 0.06054614648028514706 190 17 0.00356153802825206730
aten::__and__, 0.084 0.05467030609324045887 10 5 0.01093406121864809108
aten::item, 8.876 0.03828851645290153732 6189 18 0.00212713980293897410
aten::zeros_like, 1.350 0.03621790680937864160 119 17 0.00213046510643403759
aten::sqrt, 0.146 0.03293768239759803373 27 7 0.00470538319965686184
aten::remainder, 0.110 0.03170288377065463847 22 2 0.01585144188532731924
aten::detach, 3.563 0.02701023017802672843 813 130 0.00020777100136943637
